"id","company_id/id","name","location_id/id","usage","is_department_location","scrap_location","partner_id/id"
"__setup__.stock_location_team_inc","__setup__.company_inc","Team","","view","false","false",""
"__setup__.stock_location_team_sa","base.main_company","Team","","view","false","false",""
"__setup__.stock_location_18","base.main_company","Atelier","__setup__.stock_location_team_sa","customer","true","false",""
"__setup__.stock_location_22","base.main_company","Admin","__setup__.stock_location_team_sa","customer","true","false",""
"__setup__.stock_location_23","base.main_company","INDU - Indus","__setup__.stock_location_team_sa","customer","true","false",""
"__setup__.stock_location_60","base.main_company","MKT - Marketing","__setup__.stock_location_team_sa","customer","true","false","base.main_partner"
"__setup__.stock_location_61","base.main_company","SALE - Sales","__setup__.stock_location_team_sa","customer","true","false","base.main_partner"
"__setup__.stock_location_63","base.main_company","AUTO - Automatique","__setup__.stock_location_team_sa","customer","true","false",""
"__setup__.stock_location_64","base.main_company","CTO - CTO / Project Managmenent","__setup__.stock_location_team_sa","customer","true","false",""
"__setup__.stock_location_65","base.main_company","HARD - Hardware","__setup__.stock_location_team_sa","customer","true","false",""
"__setup__.stock_location_66","base.main_company","MECA - Mecanique","__setup__.stock_location_team_sa","customer","true","false",""
"__setup__.stock_location_67","base.main_company","SOFT - Software","__setup__.stock_location_team_sa","customer","true","false",""
"__setup__.stock_location_68","base.main_company","SQA - Validation qualité","__setup__.stock_location_team_sa","customer","true","false",""
"__setup__.stock_location_69","base.main_company","BDT - Banc de test","__setup__.stock_location_team_sa","customer","true","false",""
"__setup__.stock_location_70","base.main_company","CERT - Certification","__setup__.stock_location_team_sa","customer","true","false",""
"__setup__.stock_location_71","base.main_company","CSO","__setup__.stock_location_61","customer","true","false",""
"__setup__.stock_location_74","base.main_company","CSS Team","__setup__.stock_location_team_sa","customer","true","false",""
"__setup__.stock_location_75","base.main_company","SURV - Surveying","__setup__.stock_location_team_sa","customer","true","false",""
"__setup__.stock_location_76","base.main_company","AGRI - Agriculture Vertical","__setup__.stock_location_team_sa","customer","true","false",""
"__setup__.stock_location_78","base.main_company","REGP - Regulatory","__setup__.stock_location_team_sa","customer","true","false",""
"__setup__.stock_location_79","base.main_company","Rental - To repair","stock.stock_location_stock","customer","false","false",""
"__setup__.stock_location_80","base.main_company","Rental - Ready","stock.stock_location_stock","customer","false","false",""
"__setup__.stock_location_81","base.main_company","SAV Repair","stock.stock_location_stock","customer","false","false",""
"__setup__.stock_location_85","base.main_company","Rental - Customers","stock.stock_location_stock","customer","false","false",""
"__setup__.stock_location_88","base.main_company","INSP - Inspection","__setup__.stock_location_team_sa","customer","true","false",""
"__setup__.stock_location_47","__setup__.company_inc","Indus","__setup__.stock_location_team_inc","customer","false","false","base.main_partner"
"__setup__.stock_location_49","__setup__.company_inc","Atelier","__setup__.stock_location_team_inc","customer","true","false",""
"__setup__.stock_location_50","__setup__.company_inc","Admin","__setup__.stock_location_team_inc","customer","true","false","base.main_partner"
"__setup__.stock_location_51","__setup__.company_inc","M&S","__setup__.stock_location_team_inc","customer","true","false","base.main_partner"
"__setup__.stock_location_52","__setup__.company_inc","R&D","__setup__.stock_location_team_inc","customer","true","false","__setup__.company_inc"
"__setup__.stock_location_82","__setup__.company_inc","Rental - To repair","__setup__.stock_location_stock_inc","customer","false","false",""
"__setup__.stock_location_83","__setup__.company_inc","Rental - Ready","__setup__.stock_location_stock_inc","customer","false","false",""
"__setup__.stock_location_84","__setup__.company_inc","Rental - Customers","__setup__.stock_location_stock_inc","customer","false","false",""
"__setup__.stock_location_86","__setup__.company_inc","MRO – Ready","__setup__.stock_location_stock_inc","customer","false","false",""
"__setup__.stock_location_87","__setup__.company_inc","MRO – To repair","__setup__.stock_location_stock_inc","customer","false","false",""
"__setup__.stock_location_62","base.main_company","Scrapped albris","stock.stock_location_locations_virtual","inventory","false","true",""
"__setup__.stock_location_34","base.main_company","Stock Deporte","stock.stock_location_locations_partner","supplier","false","false",""
