"id","company_id/id","partner_id/id","state","number","currency_id/id","date_invoice","journal_id/id","account_id/id","type","origin"
"__setup__.account_invoice_32742","base.main_company","__setup__.res_partner_1162","draft","I201707036337","base.USD","2017-07-03","__setup__.account_journal_7","l10n_ch.1_ch_coa_1100","out_invoice","Q201706306936"
"__setup__.account_invoice_33325","base.main_company","__setup__.res_partner_3","draft","I201708086506","base.EUR","2017-08-08","__setup__.account_journal_7","l10n_ch.1_ch_coa_1100","out_invoice","RMA06323"
"__setup__.account_invoice_33329","base.main_company","__setup__.res_partner_3","draft","I201707266452","base.EUR","2017-07-26","__setup__.account_journal_7","l10n_ch.1_ch_coa_1100","out_invoice","RMA06347"
"__setup__.account_invoice_33761","base.main_company","__setup__.res_partner_1099","draft","I201708156548","base.USD","2017-08-15","__setup__.account_journal_7","l10n_ch.1_ch_coa_1100","out_invoice","RMA05513"
"__setup__.account_invoice_34715","base.main_company","__setup__.res_partner_3","draft","I201709196755","base.EUR","2017-09-19","__setup__.account_journal_7","l10n_ch.1_ch_coa_1100","out_invoice","RMA06579"
"__setup__.account_invoice_34757","base.main_company","__setup__.res_partner_91","draft","I201709216781","base.USD","2017-09-21","__setup__.account_journal_7","l10n_ch.1_ch_coa_1100","out_invoice","Q201709207442"
"__setup__.account_invoice_34796","base.main_company","__setup__.res_partner_3","draft","I201710026832","base.EUR","2017-10-02","__setup__.account_journal_7","l10n_ch.1_ch_coa_1100","out_invoice","RMA06641"
"__setup__.account_invoice_34966","base.main_company","__setup__.res_partner_1099","draft","I201711177133","base.USD","2017-11-17","__setup__.account_journal_7","l10n_ch.1_ch_coa_1100","out_invoice","Q201709267469"
"__setup__.account_invoice_34967","base.main_company","__setup__.res_partner_1099","draft","I201711147102","base.USD","2017-11-14","__setup__.account_journal_7","l10n_ch.1_ch_coa_1100","out_invoice","Q201709267468"
"__setup__.account_invoice_35465","base.main_company","__setup__.res_partner_91","draft","I201710206930","base.USD","2017-10-20","__setup__.account_journal_7","l10n_ch.1_ch_coa_1100","out_invoice","Q201710187594"
"__setup__.account_invoice_35510","base.main_company","__setup__.res_partner_1162","draft","I201710246949","base.USD","2017-10-24","__setup__.account_journal_7","l10n_ch.1_ch_coa_1100","out_invoice","Q201710237619"
"__setup__.account_invoice_35566","base.main_company","__setup__.res_partner_3","draft","I201711097063","base.EUR","2017-11-09","__setup__.account_journal_7","l10n_ch.1_ch_coa_1100","out_invoice","RMA06655"
"__setup__.account_invoice_35620","base.main_company","__setup__.res_partner_1162","draft","I201710276979","base.USD","2017-10-27","__setup__.account_journal_7","l10n_ch.1_ch_coa_1100","out_invoice","Q201710237621"
"__setup__.account_invoice_35643","base.main_company","__setup__.res_partner_1162","draft","I201710276986","base.USD","2017-10-27","__setup__.account_journal_7","l10n_ch.1_ch_coa_1100","out_invoice","Q201710237620"
"__setup__.account_invoice_35647","base.main_company","__setup__.res_partner_1162","draft","I201710306996","base.USD","2017-10-30","__setup__.account_journal_7","l10n_ch.1_ch_coa_1100","out_invoice","Q201710277674"
"__setup__.account_invoice_35664","base.main_company","__setup__.res_partner_1099","draft","I201711177132","base.USD","2017-11-17","__setup__.account_journal_7","l10n_ch.1_ch_coa_1100","out_invoice","Q201710277666"
"__setup__.account_invoice_35767","base.main_company","__setup__.res_partner_1099","draft","I201712057244","base.USD","2017-12-05","__setup__.account_journal_7","l10n_ch.1_ch_coa_1100","out_invoice","RMA06689"
"__setup__.account_invoice_35933","base.main_company","__setup__.res_partner_91","draft","I201711077042","base.USD","2017-11-07","__setup__.account_journal_7","l10n_ch.1_ch_coa_1100","out_invoice","Q201711067718"
"__setup__.account_invoice_36046","base.main_company","__setup__.res_partner_91","draft","I201711097061","base.USD","2017-11-09","__setup__.account_journal_7","l10n_ch.1_ch_coa_1100","out_invoice","Q201711087740"
"__setup__.account_invoice_36080","base.main_company","__setup__.res_partner_1099","draft","I201711277183","base.USD","2017-11-27","__setup__.account_journal_7","l10n_ch.1_ch_coa_1100","out_invoice","RMA06917"
"__setup__.account_invoice_36083","base.main_company","__setup__.res_partner_91","draft","I201711097074","base.USD","2017-11-09","__setup__.account_journal_7","l10n_ch.1_ch_coa_1100","out_invoice","Q201711087744"
"__setup__.account_invoice_36096","base.main_company","__setup__.res_partner_1099","draft","I201711177131","base.USD","2017-11-17","__setup__.account_journal_7","l10n_ch.1_ch_coa_1100","out_invoice","Q201711077730"
"__setup__.account_invoice_36098","base.main_company","__setup__.res_partner_1099","draft","I201711177130","base.USD","2017-11-17","__setup__.account_journal_7","l10n_ch.1_ch_coa_1100","out_invoice","Q201710317689"
"__setup__.account_invoice_36177","base.main_company","__setup__.res_partner_91","draft","I201711157111","base.USD","2017-11-15","__setup__.account_journal_7","l10n_ch.1_ch_coa_1100","out_invoice","Q201711137778"
"__setup__.account_invoice_36297","base.main_company","__setup__.res_partner_91","draft","I201711207143","base.USD","2017-11-20","__setup__.account_journal_7","l10n_ch.1_ch_coa_1100","out_invoice","Q201711207826"
"__setup__.account_invoice_36306","base.main_company","__setup__.res_partner_91","draft","I201711217150","base.USD","2017-11-21","__setup__.account_journal_7","l10n_ch.1_ch_coa_1100","out_invoice","Q201711207827"
"__setup__.account_invoice_36346","base.main_company","__setup__.res_partner_91","draft","I201711227158","base.USD","2017-11-22","__setup__.account_journal_7","l10n_ch.1_ch_coa_1100","out_invoice","Q201711147789"
"__setup__.account_invoice_36436","base.main_company","__setup__.res_partner_1099","draft","I201712117284","base.USD","2017-12-11","__setup__.account_journal_7","l10n_ch.1_ch_coa_1100","out_invoice","RMA06945"
"__setup__.account_invoice_36437","base.main_company","__setup__.res_partner_1099","draft","I201712057246","base.USD","2017-12-05","__setup__.account_journal_7","l10n_ch.1_ch_coa_1100","out_invoice","RMA06974"
"__setup__.account_invoice_36595","base.main_company","__setup__.res_partner_1162","draft","I201711307221","base.USD","2017-11-30","__setup__.account_journal_7","l10n_ch.1_ch_coa_1100","out_invoice","Q201711297888"
"__setup__.account_invoice_36675","base.main_company","__setup__.res_partner_91","draft","I201712047235","base.USD","2017-12-04","__setup__.account_journal_7","l10n_ch.1_ch_coa_1100","out_invoice","Q201712017910"
"__setup__.account_invoice_36678","base.main_company","__setup__.res_partner_1099","draft","I201712047234","base.CHF","2017-12-04","__setup__.account_journal_7","l10n_ch.1_ch_coa_1100","out_invoice","Q201711277852"
"__setup__.account_invoice_36766","base.main_company","__setup__.res_partner_91","draft","I201712057254","base.USD","2017-12-05","__setup__.account_journal_7","l10n_ch.1_ch_coa_1100","out_invoice","Q201712047916"
"__setup__.account_invoice_36778","base.main_company","__setup__.res_partner_91","draft","I201712067258","base.USD","2017-12-06","__setup__.account_journal_7","l10n_ch.1_ch_coa_1100","out_invoice","Q201712047919"
"__setup__.account_invoice_36780","base.main_company","__setup__.res_partner_91","draft","I201712117300","base.USD","2017-12-11","__setup__.account_journal_7","l10n_ch.1_ch_coa_1100","out_invoice","Q201712057926"
"__setup__.account_invoice_36805","base.main_company","__setup__.res_partner_91","draft","I201712067262","base.USD","2017-12-06","__setup__.account_journal_7","l10n_ch.1_ch_coa_1100","out_invoice","Q201712067931"
"__setup__.account_invoice_36880","base.main_company","__setup__.res_partner_91","draft","I201712087273","base.USD","2017-12-08","__setup__.account_journal_7","l10n_ch.1_ch_coa_1100","out_invoice","Q201712077952"
"__setup__.account_invoice_36881","base.main_company","__setup__.res_partner_91","draft","I201712087274","base.USD","2017-12-08","__setup__.account_journal_7","l10n_ch.1_ch_coa_1100","out_invoice","Q201712077953"
"__setup__.account_invoice_36966","base.main_company","__setup__.res_partner_1099","draft","I201712127311","base.USD","2017-12-12","__setup__.account_journal_7","l10n_ch.1_ch_coa_1100","out_invoice","Q201712117969"
"__setup__.account_invoice_36998","base.main_company","__setup__.res_partner_1099","draft","I201712137320","base.USD","2017-12-13","__setup__.account_journal_7","l10n_ch.1_ch_coa_1100","out_invoice","Q201712127972"
"__setup__.account_invoice_37086","base.main_company","__setup__.res_partner_91","draft","I201712147332","base.USD","2017-12-14","__setup__.account_journal_7","l10n_ch.1_ch_coa_1100","out_invoice","Q201712137996"
